geneName,module,gene_biotype,hgnc_symbol,module.char,mod.color
ENSG00000183779,1,protein_coding,ZNF703,01,turquoise
ENSG00000183943,1,protein_coding,PRKX,01,turquoise
ENSG00000184005,1,protein_coding,ST6GALNAC3,01,turquoise
ENSG00000184060,1,protein_coding,ADAP2,01,turquoise
ENSG00000184232,1,protein_coding,OAF,01,turquoise
ENSG00000184489,1,protein_coding,PTP4A3,01,turquoise
ENSG00000184557,1,protein_coding,SOCS3,01,turquoise
ENSG00000185033,1,protein_coding,SEMA4B,01,turquoise
ENSG00000185303,1,protein_coding,SFTPA2,01,turquoise
ENSG00000185885,1,protein_coding,IFITM1,01,turquoise
ENSG00000186815,1,protein_coding,TPCN1,01,turquoise
ENSG00000186818,1,protein_coding,LILRB4,01,turquoise
ENSG00000187037,1,protein_coding,GPR141,01,turquoise
ENSG00000187474,1,protein_coding,FPR3,01,turquoise
ENSG00000187605,1,protein_coding,TET3,01,turquoise
ENSG00000187783,1,protein_coding,TMEM72,01,turquoise
ENSG00000188215,1,protein_coding,DCUN1D3,01,turquoise
ENSG00000188305,1,protein_coding,C19orf35,01,turquoise
ENSG00000188820,1,protein_coding,FAM26F,01,turquoise
ENSG00000196188,1,protein_coding,CTSE,01,turquoise
ENSG00000196189,1,protein_coding,SEMA4A,01,turquoise
ENSG00000196260,1,protein_coding,SFTA2,01,turquoise
ENSG00000196465,1,protein_coding,MYL6B,01,turquoise
ENSG00000196498,1,protein_coding,NCOR2,01,turquoise
ENSG00000196562,1,protein_coding,SULF2,01,turquoise
ENSG00000196878,1,protein_coding,LAMB3,01,turquoise
ENSG00000197043,1,protein_coding,ANXA6,01,turquoise
ENSG00000197093,1,protein_coding,GAL3ST4,01,turquoise
ENSG00000197256,1,protein_coding,KANK2,01,turquoise
ENSG00000197355,1,protein_coding,UAP1L1,01,turquoise
ENSG00000197721,1,protein_coding,CR1L,01,turquoise
ENSG00000197860,1,protein_coding,SGTB,01,turquoise
ENSG00000198355,1,protein_coding,PIM3,01,turquoise
ENSG00000198435,1,protein_coding,NRARP,01,turquoise
ENSG00000204103,1,protein_coding,MAFB,01,turquoise
ENSG00000204131,1,protein_coding,NHSL2,01,turquoise
ENSG00000204267,1,protein_coding,TAP2,01,turquoise
ENSG00000205531,1,protein_coding,NAP1L4,01,turquoise
ENSG00000206561,1,protein_coding,COLQ,01,turquoise
ENSG00000213024,1,protein_coding,NUP62,01,turquoise
ENSG00000221866,1,protein_coding,PLXNA4,01,turquoise
ENSG00000221869,1,protein_coding,CEBPD,01,turquoise
ENSG00000221883,1,protein_coding,ARIH2OS,01,turquoise
ENSG00000239961,1,protein_coding,LILRA4,01,turquoise
ENSG00000239998,1,protein_coding,LILRA2,01,turquoise
ENSG00000244165,1,protein_coding,P2RY11,01,turquoise
ENSG00000248905,1,protein_coding,FMN1,01,turquoise
ENSG00000249437,1,protein_coding,NAIP,01,turquoise
ENSG00000249992,1,protein_coding,TMEM158,01,turquoise
ENSG00000257335,1,protein_coding,MGAM,01,turquoise
ENSG00000258227,1,protein_coding,CLEC5A,01,turquoise
ENSG00000277075,1,protein_coding,HIST1H2AE,01,turquoise
ENSG00000277443,1,protein_coding,MARCKS,01,turquoise
