geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
CCL2,0.43345672732065565,3.4770326472488153,4.539146460086538,5.8262449844910486e-5,2.1362898276467177e-4,1.1659426379056095,visit,up
IL13,0.5662095418808706,1.0937577063440813,4.459913288437673,7.408142457586914e-5,2.546548969795502e-4,0.9315700294302713,visit,up
IL17A,0.2829746289165386,0.9391871662900269,4.369093396729316,9.744989324133478e-5,3.152790663690243e-4,0.6644280270820531,visit,up
IL2,0.24361003861846892,0.9279849932931216,3.954447233882613,3.3438008192330056e-4,0.0010217169169878628,-0.531242948316164,visit,up
IL6,0.5846413068099916,1.9093168147259498,3.904772014017926,3.86672390367134e-4,0.0011193148142206511,-0.6714530682278355,visit,up
CCL8,0.3123080212072701,1.0385323509824094,3.8022415369429425,5.209244792418065e-4,0.0014325423179149678,-0.9585117281527742,visit,up
CXCL13,0.39786257473875214,0.9389953646147358,3.728096473442641,6.451394351858537e-4,0.001689650901677236,-1.164036632115585,visit,up
CCL3,0.18928986255873273,1.367776693816985,3.631570502517603,8.503658390659012e-4,0.002125914597664753,-1.4288516779542242,visit,up
CCL13,0.29190002429264206,1.4205978474780792,3.534649860795973,0.0011191500864905363,0.002632263200308077,-1.6914450755620667,visit,up
sCD40L,0.2898691455410802,1.1092933180914544,3.5254254339335374,0.0011486239419526156,0.002632263200308077,-1.7162577416022984,visit,up
IL8,0.2234910841957285,2.7495386503924317,3.0313781836510016,0.0044337267896714695,0.009754198937277234,-2.9940171322220657,visit,up
IFNG,0.23885911080604505,0.9952446755597851,2.9042156566761355,0.006184799032261182,0.013083228722090962,-3.3047284559849226,visit,up
IFNA2,0.18883010077744578,1.492545874884522,2.755623569628533,0.00904622773176237,0.018357881657893312,-3.6571292690112447,visit,up
CCL21,0.20875733708584804,1.7012196857083117,2.742710711849845,0.009345830662200232,0.018357881657893312,-3.6871858859954543,visit,up
KITLG,0.162029989054593,1.927663588360236,2.7211061599392066,0.00986777636330343,0.018714748275230644,-3.7372652450380506,visit,up
IL16,0.28024662447747206,2.534375392526855,2.6209961566446474,0.012657709550636094,0.022814315985798396,-3.9658467801310135,visit,up
IL12B,0.17462584747589022,1.5239153016529694,2.6145885652042797,0.012858978101086369,0.022814315985798396,-3.980279115220439,visit,up
CCL26,0.11933621372919592,2.0602327200528814,2.5435359455778115,0.015296843786765124,0.026291450258502557,-4.138678817581342,visit,up
IL20,0.17497116346229383,1.7515145574128488,2.475721909068976,0.01801163178757256,0.030019386312620935,-4.287000093691894,visit,up
TNFB,0.22098588202136682,0.9793498725403033,2.366990263771683,0.023291389670453817,0.03767724799632235,-4.518793344747607,visit,up
CCL11,0.12460040267406382,1.516210676870856,2.1705247784950097,0.03647523035769073,0.057318219133514,-4.917890774848884,visit,up
CCL4,0.10791245164526372,1.7986432482051409,2.0138199996710933,0.05136333168348092,0.07847175673865141,-5.216973421824611,visit,up
TGFA,0.14640510898110795,1.3495686421733328,1.9738601264978581,0.05591996031153592,0.0831242653279588,-5.290383011191936,visit,up
IL15,-0.12107114246484833,1.9916903540416095,-1.9451857779124233,0.05940201117377321,0.08597659511993491,-5.342327196507978,visit,down
IL4,0.08509406110926811,1.8874570341337353,1.7732093594433986,0.08444836269906877,0.11909384483202007,-5.640691832113095,visit,up
IL1B,0.09835041749979467,0.8632171894249133,1.7534312053885015,0.08783210767663638,0.12076914805537502,-5.673525295431979,visit,up
CX3CL1,0.08037159600099862,2.1938265057838,1.7252855096404693,0.09284305672593073,0.12454556390063878,-5.719712044256164,visit,up
IP10,0.12391387670888333,4.032283817871775,1.6500971672658378,0.10741079931039436,0.140656999096945,-5.839963368883425,visit,up
IL12p70,0.10233843794306263,1.0547219678635775,1.6351799751082907,0.1105144932361165,0.14135574716247462,-5.863273319943833,visit,up
RANTES,-0.12852350986614383,2.2593121893735195,-1.5810580554048066,0.1223993960463236,0.15299924505790452,-5.946303641991509,visit,down
TNFSF10,0.11705658063901014,2.0404832280293856,1.3807068003125773,0.17567523532133647,0.2147141765038557,-6.232149734122447,visit,up
IL7,0.07358390924703083,1.4443356900010549,1.3347198894084098,0.19014534249666012,0.22734769211557188,-6.2928631829813515,visit,up
FGF2,0.056302595794480687,1.9381390884660217,1.3053163757860762,0.19986575222236166,0.23388545472829558,-6.330704360107113,visit,up
IL23,0.06767120284427192,2.084949930769684,1.0621527353164009,0.29506847622353055,0.33449937683401904,-6.613749060940091,visit,up
IL1A,0.06485184932130976,1.1615468188342264,1.0556108332099214,0.29800853572485336,0.33449937683401904,-6.620613719395885,visit,up
CXCL5,0.07416409909328965,2.422933363645294,1.0119308757950618,0.3181606502911504,0.3499767153202655,-6.665423506322144,visit,up
CXCL1,-0.0599625287236868,4.189173063818908,-0.8838276076017114,0.3825116054746721,0.4125125157079797,-6.7864558764367064,visit,down
CCL15,0.050588877216856204,2.9188154658163152,0.8138837926365784,0.42093258267020683,0.44521715474733414,-6.845921291899276,visit,up
EGF,0.04245241276306753,1.577164621596178,0.6000340468480396,0.5521507803749173,0.5729866588796311,-6.998199445388077,visit,up
FLT3L,-0.0030704806240345385,1.766596094134404,-0.05626767893826943,0.9554321366069736,0.9726063036254,-7.179536633192689,visit,down
PDGFAA,0.0025092106862029152,2.262584200686976,0.034573341897739106,0.9726063036254,0.9726063036254,-7.180542902894882,visit,up
